Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,27.7469,10.5391,682.844,-0,-0,-0,2407.43,-2667.35,-8660.66
1,1,28.1315,10.4938,679.538,-0,-0,-0,2407.39,-2668.76,-8662.87
1,2,28.0184,9.92823,677.536,-0,-0,-0,2406.89,-2669.17,-8662.95
1,3,28.2446,10.2676,676.405,-0,-0,-0,2407.06,-2669.3,-8666.82
1,4,27.7242,10.1997,674.229,-0,-0,-0,2406.02,-2668.68,-8662.63
2,0,27.2491,9.8151,673.098,-0,-0,-0,2403.91,-2669.59,-8662.95
2,1,27.679,10.1319,669.443,-0,-0,-0,2404.28,-2669.26,-8662.32
2,2,27.6337,10.0414,665.441,-0,-0,-0,2407.18,-2669.59,-8663.03
2,3,27.8826,9.95085,664.832,-0,-0,-0,2406.15,-2669.3,-8667.69
2,4,27.9052,10.5617,664.919,-0,-0,-0,2405.56,-2668.92,-8662.87
3,0,28.0636,9.83773,664.309,-0,-0,-0,2405.07,-2669.63,-8660.97
3,1,28.3351,9.79248,659.784,-0,-0,-0,2404.11,-2671.95,-8665.4
3,2,28.4935,9.97348,661.003,-0,-0,-0,2403.91,-2670,-8662.08
3,3,27.4075,10.1545,661.438,-0,-0,-0,2405.44,-2669.26,-8662.63
3,4,27.2265,10.4712,657.174,-0,-0,-0,2406.68,-2669.13,-8662.87
4,0,27.0002,9.47573,655.259,-0,-0,-0,2407.93,-2668.51,-8664.61
4,1,27.2265,9.43048,653.693,-0,-0,-0,2406.56,-2669.63,-8660.66
4,2,26.7514,9.40786,653.432,-0,-0,-0,2405.15,-2669.46,-8661.92
4,3,27.679,9.06848,655.346,-0,-0,-0,2404.94,-2669.17,-8663.42
4,4,26.6609,9.47573,650.212,-0,-0,-0,2404.15,-2671.33,-8656.39
5,0,26.4346,9.58885,651.431,-0,-0,-0,2407.1,-2666.6,-8663.42
5,1,27.1134,8.41236,648.646,-0,-0,-0,2405.23,-2669.75,-8662.71
5,2,26.6835,8.81961,646.384,-0,-0,-0,2406.44,-2670.13,-8665.08
5,3,26.2536,8.36711,647.341,-0,-0,-0,2407.31,-2670.04,-8658.76
5,4,26.1179,6.987,648.559,-0,-0,-0,2406.68,-2669.71,-8664.45
6,0,25.9821,7.168,644.208,-0,-0,-0,2405.77,-2669.26,-8663.82
6,1,26.3441,7.168,640.031,-0,-0,-0,2405.81,-2665.61,-8668.64
6,2,25.2808,8.05037,642.12,-0,-0,-0,2403.53,-2670.87,-8659.39
6,3,25.1903,6.64763,644.034,-0,-0,-0,2405.23,-2669.42,-8662.48
6,4,25.7106,5.83313,641.772,-0,-0,-0,2405.19,-2668.72,-8662.95
7,0,25.5749,5.81051,639.683,-0,-0,-0,2403.74,-2670.04,-8664.85
7,1,25.5296,4.88289,636.986,-0,-0,-0,2402.16,-2669.92,-8664.06
7,2,25.7559,5.33539,639.944,-0,-0,-0,2405.15,-2669.26,-8663.5
7,3,24.7604,4.2494,634.027,-0,-0,-0,2403.82,-2670,-8661.53
7,4,25.7559,3.95527,632.287,-0,-0,-0,2404.53,-2669.05,-8668.56
8,0,25.4844,3.84215,632.461,-0,-0,-0,2405.9,-2669.84,-8663.66
8,1,24.9866,2.59778,631.416,-0,-0,-0,2405.81,-2669.3,-8661.84
8,2,25.2808,3.00503,630.807,-0,-0,-0,2401.46,-2670.33,-8670.38
8,3,24.2853,2.39416,627.414,-0,-0,-0,2404.94,-2668.1,-8661.84
8,4,24.9414,1.46654,630.372,-0,-0,-0,2406.15,-2669.42,-8663.74
9,0,24.6246,0.47105,625.412,-0,-0,-0,2406.35,-2668.84,-8664.14
9,1,23.9459,1.28554,624.542,-0,-0,-0,2406.44,-2668.8,-8664.45
9,2,24.7151,0.946171,625.934,-0,-0,-0,2406.39,-2668.39,-8663.9
9,3,24.5794,-0.88644,622.018,-0,-0,-0,2407.1,-2671.79,-8661.37
9,4,24.9188,-1.24844,620.191,-0,-0,-0,2405.19,-2669.59,-8661.92
10,0,25.0771,-1.76881,616.188,-0,-0,-0,2405.52,-2670.38,-8663.27
10,1,24.9414,-1.88193,618.364,-0,-0,-0,2404.74,-2669.17,-8660.97
10,2,24.783,-3.35255,613.404,-0,-0,-0,2405.23,-2669.55,-8662.79
10,3,24.9188,-3.14892,614.622,-0,-0,-0,2405.81,-2669.55,-8662.71
10,4,24.6699,-4.52904,610.445,-0,-0,-0,2402.75,-2669.96,-8659.95
11,0,24.9866,-4.73266,612.098,-0,-0,-0,2404.82,-2668.84,-8661.13
11,1,24.8283,-5.6829,605.746,-0,-0,-0,2405.65,-2669.59,-8660.5
11,2,25.3939,-6.52002,605.833,-0,-0,-0,2405.44,-2670.17,-8662.79
11,3,24.8509,-6.99514,602.439,-0,-0,-0,2404.15,-2669.38,-8663.27
11,4,25.8237,-7.28927,602.526,-0,-0,-0,2404.65,-2669.92,-8660.26
12,0,25.4165,-7.69651,601.83,-0,-0,-0,2405.85,-2669.96,-8662.63
12,1,25.1224,-8.51101,599.916,-0,-0,-0,2405.23,-2669.88,-8661.45
12,2,24.8509,-8.08114,596,-0,-0,-0,2405.98,-2664.53,-8669.43
12,3,24.8961,-8.873,593.737,-0,-0,-0,2405.15,-2667.89,-8666.03
12,4,24.9866,-9.18975,594.608,-0,-0,-0,2405.77,-2669.42,-8663.5
13,0,25.2581,-9.71012,591.214,-0,-0,-0,2405.23,-2669.92,-8664.14
13,1,25.2581,-9.07663,589.56,-0,-0,-0,2405.85,-2667.35,-8668.88
13,2,24.8735,-9.82325,589.386,-0,-0,-0,2402.33,-2671.83,-8673.62
13,3,24.9188,-10.2531,587.994,-0,-0,-0,2405.81,-2669.92,-8665.48
13,4,24.783,-10.4115,590.083,-0,-0,-0,2406.06,-2669.75,-8661.05
14,0,24.8509,-11.407,588.429,-0,-0,-0,2405.36,-2671.66,-8659.79
14,1,24.4663,-10.7735,590.953,-0,-0,-0,2405.4,-2669.59,-8665.48
14,2,24.4889,-11.4975,586.95,-0,-0,-0,2405.85,-2669.84,-8662.63
14,3,24.6246,-10.6377,584.948,-0,-0,-0,2406.44,-2668.47,-8664.29
14,4,24.8283,-11.3165,589.212,-0,-0,-0,2403.82,-2668.88,-8666.51
15,0,23.6744,-11.5427,586.602,-0,-0,-0,2404.69,-2669.3,-8662
15,1,24.421,-11.7011,587.211,-0,-0,-0,2405.52,-2669.51,-8654.57
15,2,23.9911,-13.4206,587.994,-0,-0,-0,2404.15,-2670.33,-8656.47
15,3,22.8373,-13.0586,586.602,-0,-0,-0,2404.32,-2669.55,-8662.71
15,4,23.878,-13.3753,590.605,-0,-0,-0,2405.77,-2669.21,-8666.11
16,0,23.0409,-13.8052,590.431,-0,-0,-0,2406.1,-2669.26,-8668.33
16,1,21.9097,-13.2848,592.345,-0,-0,-0,2405.23,-2670.04,-8660.34
16,2,22.6563,-13.9183,592.693,-0,-0,-0,2404.78,-2668.39,-8658.52
16,3,22.2943,-13.1943,595.391,-0,-0,-0,2405.23,-2669.84,-8663.74
16,4,22.0002,-14.1672,596.696,-0,-0,-0,2405.11,-2668.8,-8663.66
17,0,22.792,-14.0088,600.177,-0,-0,-0,2406.52,-2666.48,-8664.93
17,1,22.2264,-14.2125,599.133,-0,-0,-0,2406.77,-2669.22,-8662.79
17,2,21.706,-14.1898,600.09,-0,-0,-0,2405.27,-2668.8,-8663.11
17,3,21.5929,-14.484,604.006,-0,-0,-0,2405.98,-2669.42,-8663.9
17,4,21.887,-14.2125,607.834,-0,-0,-0,2406.52,-2668.68,-8669.67
